#{"t_start": 1784985745.947574, "env_id": "None"}
r,l,t,success,caught_by_robot_2,caught_by_robot_1,forced_release_robot_1,forced_release_robot_2
52.517849,637,165.453847,False,True,False,False,False
-27.415395,361,166.03787,False,False,False,False,False
53.999449,654,167.041894,False,True,False,False,False
-23.447765,339,167.562126,False,False,False,False,False
-23.856784,339,168.083442,False,False,False,False,False
-26.092802,305,168.760545,False,False,False,False,False
-26.420341,303,169.220853,False,False,False,False,False
-34.359175,363,169.783105,False,False,False,False,False
-35.67808,361,170.341288,False,False,False,False,False
-49.183005,359,170.895049,False,False,False,False,False
52.49099,636,181.866258,False,True,False,False,False
53.558545,670,182.895585,False,True,False,False,False
-23.25011,341,183.42035,False,False,False,False,False
53.528234,657,184.435302,False,True,False,False,False
-27.241603,357,185.219834,False,False,False,False,False
-27.098915,361,185.805818,False,False,False,False,False
-25.972695,306,186.271751,False,False,False,False,False
-24.111003,334,186.796453,False,False,False,False,False
53.675575,650,187.841133,False,True,False,False,False
-25.281713,306,188.309982,False,False,False,False,False
52.16402,634,189.333376,False,True,False,False,False
-33.630309,360,189.889955,False,False,False,False,False
52.60655,644,190.881556,False,True,False,False,False
-27.637803,357,191.627982,False,False,False,False,False
-26.113211,304,192.088518,False,False,False,False,False
-28.053337,356,192.651504,False,False,False,False,False
53.464788,643,193.633628,False,True,False,False,False
-23.628992,340,194.15908,False,False,False,False,False
-31.31305,294,194.605711,False,False,False,False,False
-35.194347,362,195.21202,False,False,False,False,False
-25.927871,305,195.70764,False,False,False,False,False
52.181997,638,196.688211,False,True,False,False,False
-23.386655,315,197.168026,False,False,False,False,False
52.75176,636,198.357538,False,True,False,False,False
53.941942,656,199.36746,False,True,False,False,False
-23.494665,336,199.882835,False,False,False,False,False
-25.771102,305,200.345701,False,False,False,False,False
-27.181391,362,200.917543,False,False,False,False,False
-31.246563,297,201.369142,False,False,False,False,False
-22.770816,315,201.898318,False,False,False,False,False
-47.32095,360,202.463451,False,False,False,False,False
53.530596,640,203.457219,False,True,False,False,False
-27.706097,358,204.009706,False,False,False,False,False
53.387541,655,205.22264,False,True,False,False,False
52.139924,638,206.212351,False,True,False,False,False
52.432753,637,207.194368,False,True,False,False,False
54.865244,661,208.231746,False,True,False,False,False
-23.667724,333,208.787212,False,False,False,False,False
53.000626,641,209.816371,False,True,False,False,False
-26.863481,303,210.282248,False,False,False,False,False
-35.483336,364,210.8522,False,False,False,False,False
-27.232512,358,211.609172,False,False,False,False,False
-27.858509,361,212.165637,False,False,False,False,False
54.275103,664,213.196548,False,True,False,False,False
51.680598,630,214.170154,False,True,False,False,False
53.347897,653,215.205417,False,True,False,False,False
-24.293813,338,215.747929,False,False,False,False,False
52.160292,638,216.722384,False,True,False,False,False
-26.578888,305,217.183481,False,False,False,False,False
-27.779536,360,217.934243,False,False,False,False,False
-35.341235,360,218.488675,False,False,False,False,False
51.873742,641,219.487842,False,True,False,False,False
-27.313856,302,219.949441,False,False,False,False,False
53.709498,657,220.958688,False,True,False,False,False
-23.296075,315,221.436927,False,False,False,False,False
-35.484327,362,222.02874,False,False,False,False,False
-31.300602,294,222.523589,False,False,False,False,False
-36.701859,360,223.079074,False,False,False,False,False
52.116098,638,224.057838,False,True,False,False,False
-36.914687,359,224.914308,False,False,False,False,False
52.562206,632,225.896217,False,True,False,False,False
52.948233,655,226.928672,False,True,False,False,False
-26.776357,304,227.398987,False,False,False,False,False
-37.42073,363,227.995986,False,False,False,False,False
53.534392,653,229.035815,False,True,False,False,False
50.254653,688,230.112646,False,True,False,False,False
52.817739,634,231.321269,False,True,False,False,False
-26.360183,305,231.78687,False,False,False,False,False
-25.817353,303,232.24729,False,False,False,False,False
53.87368,660,233.279401,False,True,False,False,False
51.745047,633,234.299153,False,True,False,False,False
53.935792,662,235.484867,False,True,False,False,False
-27.237157,360,236.062836,False,False,False,False,False
-31.12293,295,236.510681,False,False,False,False,False
-27.335638,359,237.074194,False,False,False,False,False
-26.026025,304,237.537405,False,False,False,False,False
52.057618,636,238.704912,False,True,False,False,False
-22.836062,339,239.223701,False,False,False,False,False
-26.341189,306,239.686272,False,False,False,False,False
-26.843055,304,240.154008,False,False,False,False,False
-31.281126,297,240.605467,False,False,False,False,False
-24.028146,493,241.397349,False,True,False,False,False
-28.714357,303,241.859182,False,False,False,False,False
52.924105,637,242.859976,False,True,False,False,False
-36.488133,363,243.419303,False,False,False,False,False
-26.319858,305,243.88205,False,False,False,False,False
-25.780604,307,244.555482,False,False,False,False,False
52.678882,644,245.53915,False,True,False,False,False
-25.773668,306,246.003296,False,False,False,False,False
-23.469481,338,246.521863,False,False,False,False,False
-24.284633,343,247.044995,False,False,False,False,False
53.198817,652,248.107466,False,True,False,False,False
53.248051,632,249.12153,False,True,False,False,False
-27.312293,356,249.703727,False,False,False,False,False
-26.011173,303,250.193911,False,False,False,False,False
-23.915547,319,250.70633,False,False,False,False,False
54.124559,650,251.909345,False,True,False,False,False
53.197293,657,252.920725,False,True,False,False,False
-26.938674,359,253.477406,False,False,False,False,False
-27.589782,360,254.043451,False,False,False,False,False
52.663946,636,255.06655,False,True,False,False,False
-31.237624,297,255.516704,False,False,False,False,False
-35.755284,360,256.067844,False,False,False,False,False
51.933511,634,257.039367,False,True,False,False,False
-25.137749,343,257.76528,False,False,False,False,False
-25.77366,304,258.22741,False,False,False,False,False
52.568402,640,259.208532,False,True,False,False,False
-27.650784,360,259.764302,False,False,False,False,False
47.27834,700,260.840817,False,True,False,False,False
-23.643091,316,261.329656,False,False,False,False,False
52.943898,655,272.199765,False,True,False,False,False
53.450992,661,273.23847,False,True,False,False,False
53.503215,655,274.445905,False,True,False,False,False
53.183467,632,275.458044,False,True,False,False,False
-27.391317,357,276.040976,False,False,False,False,False
-26.871376,363,276.605384,False,False,False,False,False
-28.063306,359,277.185443,False,False,False,False,False
-22.649365,341,277.723169,False,False,False,False,False
-26.351134,307,278.206554,False,False,False,False,False
-23.013965,336,278.725451,False,False,False,False,False
-27.307726,357,279.277438,False,False,False,False,False
-24.358186,343,279.804658,False,False,False,False,False
-26.296387,303,280.266132,False,False,False,False,False
-27.366662,359,281.02125,False,False,False,False,False
-22.991457,317,281.507328,False,False,False,False,False
52.064491,632,282.47937,False,True,False,False,False
-27.401904,362,283.064985,False,False,False,False,False
-26.630009,304,283.56509,False,False,False,False,False
53.841457,661,284.600123,False,True,False,False,False
-28.219123,358,285.156182,False,False,False,False,False
52.283401,641,286.14593,False,True,False,False,False
-23.222559,317,286.632756,False,False,False,False,False
-35.790618,279,287.250631,False,False,False,False,False
53.351918,654,288.260869,False,True,False,False,False
-27.035714,359,288.819426,False,False,False,False,False
-22.977062,319,289.306065,False,False,False,False,False
-31.315836,297,289.773592,False,False,False,False,False
