#{"t_start": 1784893584.981098, "env_id": "None"}
r,l,t
14.895791,294,50.054305
118.102002,363,50.179546
18.40536,352,50.348629
18.420991,358,50.472458
16.347271,321,50.582842
17.924732,350,50.758763
118.102002,363,50.890274
17.755907,337,51.023118
18.420991,358,51.195504
14.895791,294,51.296959
17.755907,337,51.412752
18.760608,361,51.5843
18.420991,358,51.723396
17.978004,259,51.811314
16.915316,318,51.968331
9.289195,267,52.060265
18.760608,361,52.185004
17.924732,350,52.35427
17.755907,337,52.471868
16.003361,298,52.575944
18.40536,352,52.746601
16.003361,298,53.75118
18.760608,361,53.876783
18.760608,361,54.049993
17.924732,350,54.171987
16.347271,321,54.282519
16.915316,318,54.391556
17.924732,350,54.560863
13.121542,263,54.650791
17.755907,337,54.767534
17.15267,336,54.931077
17.15267,336,55.047051
118.102002,363,55.188968
16.347271,321,55.347274
18.760608,361,55.472672
17.924732,350,55.596474
18.40536,352,55.765583
16.003361,298,55.868039
118.102002,363,55.994924
17.924732,350,56.173164
16.347271,321,56.300949
16.915316,318,56.416881
114.101423,267,56.558358
16.915316,318,56.667984
17.15267,336,56.786382
18.420991,358,56.961171
17.924732,350,57.084226
118.102002,363,57.211509
118.102002,363,57.387779
18.420991,358,57.514524
18.40536,352,57.637541
18.40536,352,57.819001
18.760608,361,57.953775
18.420991,358,58.10163
16.915316,318,58.26164
118.102002,363,58.38966
17.755907,337,58.506832
17.924732,350,58.679289
17.755907,337,58.796578
18.40536,352,58.919036
16.347271,321,59.078366
16.347271,321,59.189338
18.40536,352,59.310747
18.40536,352,59.48997
16.347271,321,59.607262
12.512201,253,59.711998
18.40536,352,59.882208
118.102002,363,60.00907
17.755907,337,60.124656
17.755907,337,60.288324
18.760608,361,60.414321
18.760608,361,60.541904
15.597335,307,60.697182
17.924732,350,60.820461
17.15267,336,60.938174
16.347271,321,61.098708
17.15267,336,61.216851
16.003361,298,61.319638
12.327028,250,61.460035
118.102002,363,61.611327
18.420991,358,62.660198
17.755907,337,62.826887
114.101423,267,62.921732
18.40536,352,63.044184
18.760608,361,63.219592
18.420991,358,63.352522
16.915316,318,63.466304
16.915316,318,63.575196
118.102002,363,63.746695
18.760608,361,63.870925
16.003361,298,63.972563
17.755907,337,64.13705
18.40536,352,64.258863
118.102002,363,64.432944
118.102002,363,64.559575
114.101423,267,64.650872
118.102002,363,64.777975
13.829474,275,64.920007
18.760608,361,65.045122
118.102002,363,65.171535
114.101423,267,65.317726
118.102002,363,65.452335
18.420991,358,65.615773
18.40536,352,65.785184
17.755907,337,65.90246
14.895791,294,66.002662
16.347271,321,66.1599
18.420991,358,66.283086
17.978004,259,66.370558
17.755907,337,66.535595
18.420991,358,66.661445
17.978004,259,66.752867
9.289195,267,66.845054
17.978004,259,66.981678
9.289195,267,67.073256
15.361798,280,67.169613
18.420991,358,67.347799
114.101423,267,67.444833
16.347271,321,67.562126
18.420991,358,67.747459
17.924732,350,67.869625
9.289195,267,67.961935
114.101423,267,68.054515
15.597335,307,68.208821
13.788071,254,68.295089
15.361798,280,68.390576
18.760608,361,68.565008
18.40536,352,68.687687
17.755907,337,68.805099
17.755907,337,68.970329
16.915316,318,69.081873
15.597335,307,69.188247
17.15267,336,69.353297
18.420991,358,69.478832
13.226417,249,69.563588
15.361798,280,69.658359
118.102002,363,69.833734
114.101423,267,69.928539
18.760608,361,70.059021
16.915316,318,70.281177
16.003361,298,70.387572
18.40536,352,70.509183
118.102002,363,70.684621
15.597335,307,71.666708
118.102002,363,71.792997
16.347271,321,71.950943
18.40536,352,72.072834
118.102002,363,72.199329
15.597335,307,72.370474
18.40536,352,72.492265
16.915316,318,72.601775
17.924732,350,72.78072
118.102002,363,72.919507
18.760608,361,73.102488
17.15267,336,73.294528
18.40536,352,73.417458
118.102002,363,73.544552
12.934864,250,73.679593
17.15267,336,73.797002
14.895791,294,73.898668
9.289195,267,73.992473
18.760608,361,74.164531
16.347271,321,74.275658
18.40536,352,74.397436
118.102002,363,74.588839
18.420991,358,74.738311
118.102002,363,74.929945
14.291304,283,75.028222
18.420991,358,75.154691
17.15267,336,75.272048
15.597335,307,75.424691
18.760608,361,75.54937
18.760608,361,75.721104
118.102002,363,75.846935
16.915316,318,75.956081
118.102002,363,76.128184
18.420991,358,76.252077
18.760608,361,76.375631
118.102002,363,76.548498
13.423735,268,76.63968
18.40536,352,76.760435
18.40536,352,76.930975
17.924732,350,77.059731
18.40536,352,77.190497
118.102002,363,77.381868
16.915316,318,77.490714
17.755907,337,77.606769
18.420991,358,77.777607
14.895791,294,77.878209
18.40536,352,77.99881
16.003361,298,78.099586
18.40536,352,78.267723
18.760608,361,78.391355
17.978004,259,78.478607
18.420991,358,78.65046
18.40536,352,78.777449
18.420991,358,78.907402
15.361798,280,79.060237
18.420991,358,79.184738
17.924732,350,79.318626
17.978004,259,79.459412
9.289195,267,79.550011
